"Freq [GHz]","Phi [deg]","Theta [deg]","db(GainPhi) []"
27,0,110,-16.4210701576825
27,0,112,-17.9175387568706
27,0,114,-19.3192001040573
27,0,116,-20.2812013359173
27,0,118,-20.653635166508
27,0,120,-20.6426879716633
27,0,122,-20.5201814534601
27,0,124,-20.3695944010711
27,0,126,-20.1204164631277
27,0,128,-19.716770204022
27,0,130,-19.2191289169665
27,0,132,-18.7173405395286
27,0,134,-18.1708627798043
27,0,136,-17.3716237426855
27,0,138,-16.1497082095175
27,0,140,-14.6252294634946
27,0,142,-13.1070721013308
27,0,144,-11.8455282664682
27,0,146,-10.9671599119356
27,0,148,-10.5180746536552
27,0,150,-10.5046983504419
27,0,152,-10.9086681690719
27,0,154,-11.6755304581971
27,0,156,-12.6699272581944
27,0,158,-13.602043086896
27,0,160,-14.0465161884487
27,0,162,-13.7636164750951
27,0,164,-12.9633894564787
27,0,166,-12.0133857698903
27,0,168,-11.1369444315189
27,0,170,-10.4097644922379
27,0,172,-9.83644760773739
27,0,174,-9.39872424540121
27,0,176,-9.07662430441041
27,0,178,-8.85634904486485
27,0,180,-8.73258832740087
28,0,-180,-8.01583964950246
28,0,-178,-7.93873847677922
28,0,-176,-7.86316699085758
28,0,-174,-7.82879835194744
28,0,-172,-7.88449324984673
28,0,-170,-8.08153951134153
28,0,-168,-8.46908657063051
28,0,-166,-9.09154730877147
28,0,-164,-9.98484324129983
28,0,-162,-11.1628195716947
28,0,-160,-12.5721155364049
28,0,-158,-13.9803430691297
28,0,-156,-14.87055338972
28,0,-154,-14.7952700059912
28,0,-152,-14.0231789967786
28,0,-150,-13.1751736293312
28,0,-148,-12.6355404138689
28,0,-146,-12.5538621674665
28,0,-144,-12.9793105561643
28,0,-142,-13.9241150370565
28,0,-140,-15.373266516652
28,0,-138,-17.2543103979214
28,0,-136,-19.3492599100294
28,0,-134,-21.1412451690842
28,0,-132,-21.8542791842651
28,0,-130,-21.1765664932323
28,0,-128,-19.6587830094769
28,0,-126,-17.9755397862115
28,0,-124,-16.503811114465
28,0,-122,-15.395407640332
28,0,-120,-14.6885978979874
28,0,-118,-14.3649604003292
28,0,-116,-14.3675209901991
28,0,-114,-14.5946510271374
28,0,-112,-14.8826756497932
28,0,-110,-15.0113442193984
28,0,-108,-14.7876885981983
28,0,-106,-14.1765113479545
28,0,-104,-13.3114073724102
28,0,-102,-12.3695369579166
28,0,-100,-11.4774377536402
28,0,-98,-10.7009216437892
28,0,-96,-10.0666754589398
28,0,-94,-9.57965911497896
28,0,-92,-9.22925494447159
28,0,-90,-8.98700518603955
28,0,-88,-8.8015509560268
28,0,-86,-8.5998827974437
28,0,-84,-8.30628921550485
28,0,-82,-7.87918348752443
28,0,-80,-7.3393582070338
28,0,-78,-6.75942291964311
28,0,-76,-6.2233928590941
28,0,-74,-5.78983732949902
28,0,-72,-5.47314901656432
28,0,-70,-5.23813885746544
28,0,-68,-5.00653535748941
28,0,-66,-4.68518738091335
28,0,-64,-4.21741932982345
28,0,-62,-3.62282491191769
28,0,-60,-2.98417913148466
28,0,-58,-2.3970628007426
28,0,-56,-1.92945159090328
28,0,-54,-1.60746389428578
28,0,-52,-1.41620574936666
28,0,-50,-1.30634177796343
28,0,-48,-1.20737087151125
28,0,-46,-1.05178956078611
28,0,-44,-0.804176765263842
28,0,-42,-0.475497775701328
28,0,-40,-0.110195059722125
28,0,-38,0.241348253412925
28,0,-36,0.5441673446075
28,0,-34,0.786357836546112
28,0,-32,0.976720108960306
28,0,-30,1.13729739126489
28,0,-28,1.29360529241314
28,0,-26,1.46496654336639
28,0,-24,1.65819767178411
28,0,-22,1.86716513190877
28,0,-20,2.07764039122408
28,0,-18,2.27407982549908
28,0,-16,2.44491087609017
28,0,-14,2.58486282663703
28,0,-12,2.69467470498324
28,0,-10,2.77922401819561
28,0,-8,2.84509741739298
28,0,-6,2.89838167714702
28,0,-4,2.94317908791205
28,0,-2,2.98103743043353
28,0,0,3.0111562920937
28,0,2,3.03100526462645
28,0,4,3.03696956396419
28,0,6,3.0248102324764
28,0,8,2.98996548471846
28,0,10,2.92788765964029
28,0,12,2.83463313645687
28,0,14,2.70780981156959
28,0,16,2.54779180650597
28,0,18,2.35887837284989
28,0,20,2.14982878914576
28,0,22,1.93302807058635
28,0,24,1.72167605069877
28,0,26,1.52518781899404
28,0,28,1.34439399400366
28,0,30,1.16914463149879
28,0,32,0.980242659461364
28,0,34,0.755426540617418
28,0,36,0.47729895377987
28,0,38,0.140951933273948
28,0,40,-0.240350650107228
28,0,42,-0.633479682194951
28,0,44,-0.991368305038417
28,0,46,-1.26963830594427
28,0,48,-1.44943947440568
28,0,50,-1.55148238106556
28,0,52,-1.6290743634998
28,0,54,-1.74608202378786
28,0,56,-1.95575722574263
